Case ID,Interaction ID,Channel Type,Subject,Reason,Type,Open Date,Closed Date,Case Status,Neighbourhood,Ward,Geometry
03bdf7db1681d616bba2ee4a4654805eeb41ebdb60dc46528e039605e4fcfe53,101013590847,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/30/2020 09:02:00 AM,11/03/2021 08:48:00 AM,Closed,Westwood,Charleswood - Tuxedo - Westwood,POINT (-97.3036911511 49.874833486337)
32cbe11a66b1c0dd59cf76c406b2351df8c22eb044f5a087cb372c089ec35a1a,101013782599,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/13/2021 12:06:00 PM,01/15/2021 07:51:00 AM,Closed,Rossmere-B,Elmwood - East Kildonan,POINT (-97.097000134906 49.931920089554)
0c1227a9a1e1e88f21238c1823acb71c7e708d51ae007e8e8098d4cf17a1aedf,101013979213,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/06/2021 11:24:00 AM,05/27/2021 08:06:00 AM,Closed,St. James Industrial,St. James,POINT (-97.193520145857 49.899963309934)
021009cd174f33d6d3f68afb1d40606665ef98b688ca03c854bbcddd8e8e9e0f,101013995413,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/15/2021 03:49:00 PM,11/03/2021 10:49:00 AM,Closed,Inkster-Faraday,Mynarski,POINT (-97.140085960589 49.930020859539)
f2a2ac7a132cb992f1e2ec28af0e2f21d715afc6ea97d4bd63030748129fbd0b,101013785628,Self Service,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/07/2021 11:03:00 AM,01/21/2021 07:05:00 AM,Closed,Linden Woods,River Heights - Fort Garry,POINT (-97.191097524235 49.829224535858)
f2a2ac7a132cb992f1e2ec28af0e2f21d715afc6ea97d4bd63030748129fbd0b,101013787780,Self Service,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/07/2021 11:03:00 AM,01/21/2021 07:05:00 AM,Closed,Linden Woods,River Heights - Fort Garry,POINT (-97.191302226718 49.829546906353)
f2a2ac7a132cb992f1e2ec28af0e2f21d715afc6ea97d4bd63030748129fbd0b,101013795220,Self Service,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/07/2021 11:03:00 AM,01/21/2021 07:05:00 AM,Closed,Linden Woods,River Heights - Fort Garry,POINT (-97.190713280574 49.829165331708)
53b0ef5e135aabdb15024159ca1222520099d8ea88e234a1bd662fd27b1fa782,101014167705,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/07/2021 09:39:00 AM,09/13/2021 01:20:00 PM,Closed,Tyndall Park,Point Douglas,POINT (-97.199834945293 49.935779030206)
4bb99003d7def79561f20aa7dd7ec733489e32cad7b546714bb3f3d5dc2136b7,101014000984,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/18/2021 06:06:00 PM,05/19/2021 10:15:00 AM,Closed,Whyte Ridge,Waverley West,POINT (-97.202811475034 49.815529930864)
4040d20c305a0a2195ae9e33d149a7c02953fb53be9f0f81b06d063f26c6037e,101015731622,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,01/19/2024 08:25:00 AM,01/19/2024 10:05:00 AM,Closed,Fort Richmond,St. Norbert - Seine River,POINT (-97.136598712092 49.793296279162)
b5dc5887adea935ed0ccb032e2a7e4e689e02f2b75c693544a96dcdf2c515f05,101014012777,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/25/2021 06:45:00 PM,08/31/2021 10:04:00 AM,Closed,Kirkfield,Charleswood - Tuxedo - Westwood,POINT (-97.290272009041 49.875772763336)
e7dc894963ccb0609bdd673497cd27612fdd79f7582915cd0d4911532aca4527,101014016646,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/27/2021 07:00:00 PM,08/23/2021 03:47:00 PM,Closed,East Elmwood,Elmwood - East Kildonan,POINT (-97.078128428177 49.9009380905)
d5abafc0776d9ed07bdbc9daa16a50ef018608dd7e405e21b70a49bccf62dcbe,101014026602,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/02/2021 06:30:00 PM,06/03/2021 08:51:00 AM,Closed,Dakota Crossing,St. Norbert - Seine River,POINT (-97.09319844015 49.816109125317)
650ef9fe95e0af67fb990cc5d3a649130e67e1f3c041afff21a141459035eb0f,101014029560,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/04/2021 12:11:00 PM,06/04/2021 12:41:00 PM,Closed,Dakota Crossing,St. Norbert - Seine River,POINT (-97.09582198269 49.821746353183)
3b00904abd06c70056384fbcbc1671ba6f1d4017bb4f4093560219ab5910fa24,101014207541,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/05/2021 09:02:00 AM,01/12/2022 07:18:00 AM,Closed,Kirkfield,Charleswood - Tuxedo - Westwood,POINT (-97.282851783378 49.878569001122)
f8576a9a878f1a6d4730270ffba5fc827a251adcfaf69a47d2a43471bd008140,101014189032,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/21/2021 09:44:00 PM,10/12/2021 11:37:00 AM,Closed,Fraipont,St. Vital,POINT (-97.059412894954 49.826430682113)
6a3c6b67b7cf5487d753dc2ab6cedd15c72122928c60448f36bca10d5b3893e8,101014210144,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/07/2021 08:44:00 AM,10/12/2021 07:56:00 AM,Closed,Minnetonka,St. Vital,POINT (-97.130716004129 49.817184577298)
1b3071a7929e035b0b685ab37df9e18368d0b896ced948c830f2dc9886fb21b2,101014197262,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/27/2021 05:55:00 PM,10/12/2021 11:38:00 AM,Closed,Dakota Crossing,St. Norbert - Seine River,POINT (-97.080823610286 49.818618311713)
f909da6ffc84c3c472a9656c89bdaba0ab4e80762b26839d6d917ae3ddf3250e,101014221681,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/15/2021 04:21:00 PM,10/19/2021 10:12:00 AM,Closed,Fraipont,St. Vital,POINT (-97.058439010715 49.826446756046)
68cef800d071fa6105434a8e98df4cb531b5e0c200845244aa09decf31b0e4f9,101015571009,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/17/2023 09:29:00 AM,11/08/2023 09:06:00 AM,Closed,Whyte Ridge,Waverley West,POINT (-97.201062587234 49.807474801414)
fa10c1af71b4f6d784ed8c3a9887d997898da2d739179a9f961639e451ed75a4,101014217793,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/13/2021 11:01:00 AM,10/20/2021 11:25:00 AM,Closed,River East,North Kildonan,POINT (-97.066113954928 49.944906308041)
3a137f2e8ad1c9e559b356d0679ddf331857d1014fef7de131cd4b5460318177,101014047840,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/16/2021 10:00:00 AM,06/17/2021 03:23:00 PM,Closed,Canterbury Park,Transcona,POINT (-96.965575119065 49.895001628968)
1d5d38e3922042a791e10e9c6542223a27c36dde13a1b12618406d4ac8d316ce,101014056597,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/21/2021 08:56:00 PM,06/28/2021 12:30:00 PM,Closed,Fraipont,St. Vital,POINT (-97.066208151774 49.827728161063)
51b4eafe5663938faffb3e3e10d0deb7b70ca747ee5f3ecea5687d023652ca24,101014052325,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/18/2021 05:10:00 PM,06/21/2021 02:53:00 PM,Closed,Westwood,Charleswood - Tuxedo - Westwood,POINT (-97.294014036926 49.877941507561)
29b28ddf672888c7bc14346593b37a385b13bad6d3a76035c4dc48516e3747d1,101014560115,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/03/2022 03:29:00 PM,06/29/2022 05:57:00 PM,Closed,King Edward,St. James,POINT (-97.211938535083 49.885549020621)
22e5047cd75ad0c346f269d8073d969c38c039af421e25ae5e637eec314b5686,101013962694,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/27/2021 10:36:00 AM,06/25/2021 03:06:00 PM,Closed,Munroe East,Elmwood - East Kildonan,POINT (-97.077443894641 49.912735348688)
4c8d3000055d2f0e7b15f0ab957fc1d2d25070d92b39c80e0243498864351e98,101014241256,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/30/2021 01:16:00 PM,11/01/2021 09:10:00 AM,Closed,Island Lakes,St. Boniface,POINT (-97.055530650311 49.836200832243)
7efc52e663af625c76a90a07d238a46c4e1b22ee26e27863cca6f7bad0eede8c,101014246577,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,11/03/2021 03:44:00 PM,11/04/2021 09:14:00 AM,Closed,Prairie Pointe,Waverley West,POINT (-97.188133621208 49.773666362332)
539796940cc63f9910ca07e8afab2366c488e1907089b6c87980b4e354fce6f1,101014249414,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,11/05/2021 02:38:00 PM,12/15/2021 11:50:00 AM,Closed,Polo Park,St. James,POINT (-97.195776059342 49.882933037974)
4bc6b7c6a07ab90eb69e54ec523e4f32a4bf990afa17bd7a140d99f3065c69a8,101015185719,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/14/2023 04:58:00 PM,04/19/2023 10:10:00 AM,Closed,Riverbend,North Kildonan,POINT (-97.095301832518 49.962534058218)
0453a23b37eb43fdefa67af33bb7ab8c516a62dafdcc0225ea15a3b3de634661,101014666841,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/24/2022 11:25:00 AM,01/09/2024 12:20:00 PM,Closed,Fraipont,St. Vital,POINT (-97.057904985479 49.826534228585)
c95baae5c63ec9292da746b22afcca047b893504145374a05961756db56515a6,101014270108,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,11/19/2021 03:11:00 PM,11/23/2021 02:02:00 PM,Closed,Wolseley,Daniel McIntyre,POINT (-97.176111728881 49.884604918653)
00fd679d0e0afd85e438fae3207d6c2d429372ad91dbb1cb3c5220ad8a3c562d,101015894548,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/16/2024 09:30:00 AM,05/08/2024 08:34:00 AM,Closed,,,
13d6f219bb5626cf6a4f311cd24da89416e3fee03c44d7d5aea4936aa8d1291b,101013463831,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/04/2020 10:57:00 AM,,In-Progress,Dakota Crossing,St. Norbert - Seine River,POINT (-97.096413705538 49.821110498982)
fee0a0eabea5ab21a173007bf365ff5156c846117fbcab5538aeb020bce65a96,101014520190,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/13/2022 04:18:00 PM,05/16/2022 02:30:00 PM,Closed,Heritage Park,St. James,POINT (-97.28878921349 49.895012514394)
5c9c70203384ede5c4ba38f938e468c2d1db94479226c11ee23fbb019ec9b82d,101014103951,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/23/2021 11:21:00 AM,07/26/2021 10:13:00 AM,Closed,Luxton,Mynarski,POINT (-97.113866946162 49.922297913507)
1ed2653528b1b8573b041538a40288739fe1bffe6d9791029c5251c0b42b2599,101014802058,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/03/2022 11:52:00 AM,09/26/2022 11:54:00 AM,Closed,North St. Boniface,St. Boniface,POINT (-97.126502624354 49.897598474723)
73b3263f6aa2dbd1fe57c5d1b5492299b6d649c8d6988862eebe34eb3a9e0c9c,101015198110,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/20/2023 02:00:00 PM,04/25/2023 12:09:00 PM,Closed,Kern Park,Transcona,POINT (-96.993544970496 49.895851573921)
e2035e37c81740b287a22f60191f49efbfd1dad92592439d53606b047a4d9359,101015569788,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/16/2023 02:23:00 PM,12/05/2023 01:00:00 PM,Closed,Exchange District,Point Douglas,POINT (-97.138943212856 49.898293604904)
d561b860990fbe1ad77be35e22ac52c6937940562826567f55f9a4a70bd06059,101014085954,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/11/2021 02:02:00 PM,07/21/2021 02:45:00 PM,Closed,West Broadway,Fort Rouge - East Fort Garry,POINT (-97.150898946505 49.887372649771)
ea26cc8ca4064ec299447e439e9aed71b800a8d81a1b2b2aeb7402f0a06400ce,101014734459,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/28/2022 09:44:00 PM,09/26/2022 11:02:00 AM,Closed,Waverley Heights,Waverley West,POINT (-97.176360161894 49.812997179729)
3d7642a00515fe2e89c561e6fe93d9a49b82044830b03d7ce35d1fa2ae264272,101013890764,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,03/15/2021 10:01:00 PM,03/17/2021 12:48:00 PM,Closed,Wolseley,Daniel McIntyre,POINT (-97.16803154913 49.882093109131)
934f904e2a012772638f785b29cbd60a4ef6118d6d28e1b61db7e0b6c653bbfb,101014117419,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/02/2021 10:50:00 AM,09/08/2021 11:35:00 AM,Closed,Roslyn,Fort Rouge - East Fort Garry,POINT (-97.152306529724 49.876349923185)
24a324b572271b387580033158fbd2dd9dfc8433271f41b5b9549ce908930f2a,101013535199,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,09/03/2020 11:57:00 AM,03/19/2021 10:17:00 AM,Closed,Sargent Park,Daniel McIntyre,POINT (-97.174510454919 49.895982374252)
5ee31694200098de1759ce7550fbcff5708b0d103f6fd0218b1af88d169d4d44,101014126562,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/08/2021 10:05:00 PM,09/08/2021 08:56:00 AM,Closed,Royalwood,St. Vital,POINT (-97.06912490146 49.824275511529)
e311c2a2f78f32996b24ebe2f6e25046cfe67e9a1afd917d6fb85aab2d7bd8e1,101015335521,Social Media,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/25/2023 10:17:00 AM,08/01/2023 01:30:00 PM,Closed,Richmond West,Waverley West,POINT (-97.166695782837 49.786176331141)
1307814eca6b2c361071411e0f049278695af3d71b126daf2530084520582f1d,101013856124,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,02/24/2021 03:48:00 PM,03/23/2021 11:36:00 AM,Closed,Elm Park,St. Vital,POINT (-97.11764653354 49.856942005141)
b3e6a56199f70e58b893dc6548bb902aaa46fdd98c5d65cbb6370d6f6e777363,101013893266,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,03/17/2021 10:28:00 AM,03/25/2021 01:47:00 PM,Closed,Riverview,Fort Rouge - East Fort Garry,POINT (-97.120431328593 49.859603936722)
7b71e394a9cb96f815491474ffcd9fe2a84923b324fbc4399adbb2bf01710136,101015232096,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/07/2023 02:24:00 PM,01/15/2024 03:22:00 PM,Closed,Deer Lodge,St. James,POINT (-97.2382901806 49.880279448293)
374818c9a0e179e6b4daa583e4d2feefe2966052ff101e2981d38e6e006ce7d3,101015212328,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/27/2023 03:03:00 PM,05/01/2023 01:40:00 PM,Closed,Kildonan Drive,North Kildonan,POINT (-97.105578000518 49.936718572041)
a90d0bfc1aa1f81a016697be82b9c7c01bed0894f51ead84c995c80489f826a6,101014705508,Social Media,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/14/2022 10:54:00 AM,08/07/2022 09:50:00 PM,Closed,Omand's Creek Industrial,Point Douglas,POINT (-97.211007725548 49.916935334866)
70607521e25254a96516e4fc6ef2271b21e885a234a15deb62c61ec0ddc8141e,101013915436,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,03/30/2021 01:34:00 AM,03/31/2021 06:56:00 AM,Closed,Vialoux,Charleswood - Tuxedo - Westwood,POINT (-97.253585195728 49.87000010668)
88fed3131918b0f46ae6465fedfc35756888693bfdfb3bb619c23ed9fc116182,101014637074,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/10/2022 08:00:00 AM,01/10/2024 08:18:00 AM,Closed,Royalwood,St. Vital,POINT (-97.070023609467 49.825819848084)
da992985c80b8c39db41bc5498af5063a70e4c01d3bc73b3536a6098f8b7e30b,101013920130,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/01/2021 01:33:00 PM,01/27/2022 10:58:00 AM,Closed,Bridgwater Forest,Waverley West,POINT (-97.186090758792 49.80137983467)
69ac480dc650f1561bd7b2aefde30e466ac301655628c895db6e13782df34239,101014783609,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/24/2022 04:43:00 PM,01/10/2024 12:28:00 PM,Closed,North River Heights,River Heights - Fort Garry,POINT (-97.190832173278 49.868022535799)
dea90bb0a14c09cce3fc8cd78d146d6250059853e0ca2b69d1f349cfe0db2a8f,101014569302,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/07/2022 06:19:00 PM,05/09/2022 01:02:00 PM,Closed,River East,North Kildonan,POINT (-97.071252243131 49.946377055489)
03797cde2b782d92054a6f48856930afcd17f81d2ecddf9b9e03d38b568a8658,101014571399,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/09/2022 12:18:00 PM,05/16/2022 02:31:00 PM,Closed,Heritage Park,St. James,POINT (-97.286556927642 49.896216927484)
4566e6b9d2b9092ec79d46c8cefdb73908ead9f760169ac003c0cce68d7c2ad1,101015399178,Social Media,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,07/27/2023 12:01:00 PM,08/01/2023 01:30:00 PM,Closed,Richmond West,Waverley West,POINT (-97.166902554068 49.78660033256)
f7749251140a65411fa439c5a5f16b7f6283afd06028d2e99ace9c6ee629f595,101014743327,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/03/2022 10:55:00 AM,08/04/2022 10:46:00 AM,Closed,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.148590521409 49.853951517081)
a6608e643dd6cddcc4b27d7cf2c141c3192a0e03afbb6463d21d72b0be0a3f28,101014748713,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/05/2022 04:19:00 PM,01/10/2024 12:28:00 PM,Closed,Bruce Park,St. James,POINT (-97.216459582945 49.875755931524)
cfc9729beca079bf2ca170aef06834bbc48a082a84bf3dad55c2d83bfc9b2058,101015411702,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/02/2023 09:15:00 PM,08/04/2023 02:14:00 PM,Closed,J. B. Mitchell,River Heights - Fort Garry,POINT (-97.203032983667 49.857364252213)
178da0db6463dfb41fd4d7092f9c4cc5c22c9285ca5c81d2ea34daed8e6a4c41,101014609725,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/28/2022 10:17:00 AM,06/02/2022 12:51:00 PM,Closed,Ridgewood South,Charleswood - Tuxedo - Westwood,POINT (-97.32158418119 49.84369015374)
89318854e9a31f017d30e539edfd8ba7eef501f303392296435e416b12ccc9ad,101014612100,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/29/2022 08:55:00 PM,06/02/2022 11:21:00 AM,Closed,River Park South,St. Norbert - Seine River,POINT (-97.102329845355 49.81602392325)
69ac480dc650f1561bd7b2aefde30e466ac301655628c895db6e13782df34239,101014905794,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/24/2022 04:43:00 PM,01/10/2024 12:28:00 PM,Closed,North River Heights,River Heights - Fort Garry,POINT (-97.19102391569 49.868348858851)
160eb6756beda1894b0027ac1b5a884569f61c5a73d68df23a3fc61133cf5b9d,101016146739,e-mail In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/02/2024 02:23:00 PM,08/06/2024 02:04:00 PM,Closed,Crescent Park,Fort Rouge - East Fort Garry,POINT (-97.147524464726 49.834486451961)
52c613e25c1d82b4cbad5b4188fd454e58e9910a61d4fce110c62049304bf94d,101014551296,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,04/29/2022 07:11:00 AM,01/10/2024 10:15:00 AM,Closed,West Broadway,Fort Rouge - East Fort Garry,POINT (-97.15612673471 49.883007946282)
787891c0201f075be854b6da83c285ff8438fc8f855596ee82ac67655107e7e0,101014793103,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/30/2022 05:52:00 AM,01/10/2024 12:28:00 PM,Closed,King Edward,St. James,POINT (-97.21410609435 49.881637183807)
f87aa0c0983d0629f5933162d4e939b712bf38f9ccf78f04686147d262be253b,101015271837,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,05/25/2023 07:41:00 PM,06/01/2023 07:19:00 AM,Closed,North Point Douglas,Mynarski,POINT (-97.126064372296 49.910286963701)
9b57f4d5a03b1c30c9f38c17bce98981b7acb50425d7dd4399bca7dcb8ec5f98,101015294209,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/05/2023 03:08:00 PM,06/06/2023 10:33:00 AM,Closed,Wolseley,Daniel McIntyre,POINT (-97.169053529024 49.880112888139)
87ffceb58f1e40b23b229631c9aaae05fde2599815999c76e355eeff91e79ac7,101014861812,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,10/07/2022 07:29:00 PM,10/20/2022 02:40:00 PM,Closed,St. Matthews,Daniel McIntyre,POINT (-97.170731028282 49.887246298871)
1aa7f36a2d28fae45fc7db80843260b23fa21c2e641057b823bb1178eecd56a0,101015301660,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/08/2023 05:24:00 PM,06/09/2023 11:33:00 AM,Closed,Valley Gardens,Elmwood - East Kildonan,POINT (-97.080605112157 49.920220279861)
2b97e73b5d1369b31dd0f825e970baf2d9de43f05953c1478919bf9a1af50b7c,101014786999,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/26/2022 11:18:00 AM,01/10/2024 12:28:00 PM,Closed,West Kildonan Industrial,Old Kildonan,POINT (-97.124692867191 49.963885845155)
7abff00a2e545f9285ddc7645a5ad8d59ea7b3e362b9a514b9acabdf701332ad,101015435676,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/15/2023 11:25:00 AM,08/15/2023 12:32:00 PM,Closed,Wolseley,Daniel McIntyre,POINT (-97.17594907281 49.882920582057)
589c325e4fcb4ef31c7e3bdcd37d8883f26b27effcbf3dd9cfe07f72f199d2e8,101015309717,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/13/2023 06:56:00 AM,06/13/2023 10:37:00 AM,Closed,Kirkfield,Charleswood - Tuxedo - Westwood,POINT (-97.283497541858 49.879833553637)
8980ddafac634c0793781a8d38192f4fe3ec23c561cb4022426d088e26abdb91,101014791159,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,08/29/2022 09:38:00 AM,09/19/2022 09:27:00 AM,Closed,Sargent Park,Daniel McIntyre,POINT (-97.174675693009 49.903479431031)
39f155aa264bccb12142aa494caf023d64fb5ba5ee29b8fc76e0ff3dc52661cd,101014489699,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,03/28/2022 04:42:00 PM,01/09/2024 12:20:00 PM,Closed,Fraipont,St. Vital,POINT (-97.058860744564 49.826315498489)
9b4bb58c6d2c84af16f0858bbadfc38041b83e0eb4d59908290e045344a2f719,101014623755,Voice In,Service Request,Public Works,Non Standard Boulevard Treatment Permit/Complaint,06/03/2022 02:46:00 PM,01/10/2024 08:11:00 AM,Closed,Crescentwood,River Heights - Fort Garry,POINT (-97.173533057211 49.86328892533)
