,roll_number,full_address,has_garden,total_assessed_value,street_number,street_name,property_use_code,geometry,centroid_lat,centroid_lon,n_s,position
82,12081185000.0,1068 PALMERSTON AVENUE,True,678000.0,1068.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17798516849204 49.87803041600443, -97.1778603156529 49.877942483523746, -97.17784448030837 49.87792767346161, -97.17712563224121 49.878378435272005, -97.17727331855228 49.878476789426, -97.17798516849204 49.87803041600443)))",49.87820364229994,-97.17755646380412,South,Central
86,12082746000.0,107 ETHELBERT STREET,True,433000.0,107.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16729839919626 49.87995953655956, -97.16730651366682 49.87985004618902, -97.166915361038 49.87983925543851, -97.16690729098607 49.8799487257998, -97.16729839919626 49.87995953655956)))",49.87989939017139,-97.16710689760508,South,Central
92,12081203000.0,1075 PALMERSTON AVENUE,True,393000.0,1075.0,PALMERSTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17731617197616 49.87876509404508, -97.17729231282136 49.879079939976776, -97.17740697806977 49.87915630718246, -97.17743083266146 49.878841453066855, -97.17731617197616 49.87876509404508)))",49.87896069979585,-97.17736157394528,South,Central
103,12082941000.0,109 CHESTNUT STREET,True,503000.0,109.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16496014296037 49.88110040692873, -97.16456332259375 49.881090422445425, -97.16455667014262 49.8811808435889, -97.16495346581199 49.88119082746662, -97.16496014296037 49.88110040692873)))",49.88114062463861,-97.16475840041753,South,East
104,12082747000.0,109 ETHELBERT STREET,True,372000.0,109.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16689922089097 49.880058196158146, -97.16729028332519 49.88006902600619, -97.16729839919626 49.87995953655956, -97.16690729098607 49.8799487257998, -97.16689922089097 49.880058196158146)))",49.880008870265385,-97.1670988047229,South,Central
106,12081205000.0,109 GARFIELD STREET S,True,440000.0,109.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17700686085814 49.87932094033676, -97.17739360832537 49.87933276380838, -97.17740243467834 49.879216265734314, -97.17706297231382 49.8789901827217, -97.17703136405319 49.87899789175611, -97.17700686085814 49.87932094033676)))",49.879200372969215,-97.17717816953557,South,Central
107,12081825000.0,109 LENORE STREET,True,346000.0,109.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17164776394311 49.88084479967919, -97.17125700147722 49.88083280646292, -97.17125041013269 49.88092314281898, -97.17164112066347 49.880935129837795, -97.17164776394311 49.88084479967919)))",49.88088396864187,-97.17144907247214,South,Central
121,12082921000.0,110 CHESTNUT STREET,True,372000.0,110.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1652113702408 49.88114862431313, -97.16520449452364 49.88124175387891, -97.16560259866992 49.881253045372404, -97.16560961884535 49.88116006917111, -97.1652113702408 49.88114862431313)))",49.8812008686379,-97.1654069676924,South,East
134,12082748000.0,111 ETHELBERT STREET,True,528000.0,111.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1668911507527 49.88016766651354, -97.16728216741075 49.880178515449856, -97.16729028332519 49.88006902600619, -97.16689922089097 49.880058196158146, -97.1668911507527 49.88016766651354)))",49.88011835016658,-97.16709071171816,South,Central
147,12082696000.0,112 ETHELBERT STREET,True,540000.0,112.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16756051406995 49.88020439899144, -97.16794902702073 49.88021458363841, -97.16795748178511 49.88010047877157, -97.16756897198918 49.88009027171091, -97.16756051406995 49.88020439899144)))",49.88015243314741,-97.16775899234344,South,Central
156,12082942000.0,113 CHESTNUT STREET,True,420000.0,113.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16495346581199 49.88119082746662, -97.16455667014262 49.8811808435889, -97.16455022452577 49.881268460580245, -97.16494698583898 49.88127858528039, -97.16495346581199 49.88119082746662)))",49.88122968013965,-97.16475188994184,South,East
157,12082749000.0,113 ETHELBERT STREET,True,433000.0,113.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16688307914606 49.88027713774297, -97.16727405281007 49.88028800581154, -97.16728216741075 49.880178515449856, -97.1668911507527 49.88016766651354, -97.16688307914606 49.88027713774297)))",49.88022783057891,-97.16708261863845,South,Central
160,12081958000.0,113 RUBY STREET,True,420000.0,113.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1727931474178 49.88065766148404, -97.17240232056882 49.880645690494234, -97.17239724369882 49.88071413351591, -97.17278802618797 49.88072610315526, -97.1727931474178 49.88065766148404)))",49.88068589651509,-97.17259518452052,South,Central
165,12081193000.0,114 GARFIELD STREET S,True,326000.0,114.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17767860399974 49.879270134472684, -97.17810147712707 49.879283146010984, -97.17810836106973 49.87919282379479, -97.17768545354002 49.87917978565146, -97.17767860399974 49.879270134472684)))",49.87923147152937,-97.17789346404103,South,Central
175,12082695000.0,116 ETHELBERT STREET,True,494000.0,116.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16755205474644 49.880318525347775, -97.16794057081809 49.88032868848007, -97.16794902702073 49.88021458363841, -97.16756051406995 49.88020439899144, -97.16755205474644 49.880318525347775)))",49.88026654899157,-97.1677505355457,South,Central
187,12081826000.0,117 LENORE STREET,True,416000.0,117.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17124381879299 49.881013478274085, -97.17163447732052 49.88102546089333, -97.17164112066347 49.880935129837795, -97.17125041013269 49.88092314281898, -97.17124381879299 49.881013478274085)))",49.88097430191916,-97.17144245579269,South,Central
211,12082943000.0,119 CHESTNUT STREET,True,270000.0,119.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16494698583898 49.88127858528039, -97.16455022452577 49.881268460580245, -97.16454357823662 49.8813587914903, -97.16494030918896 49.88136900582313, -97.16494698583898 49.88127858528039)))",49.88131871118964,-97.16474530749343,South,East
225,12082694000.0,120 ETHELBERT STREET,True,380000.0,120.0,ETHELBERT,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16794057081809 49.88032868848007, -97.16755205474644 49.880318525347775, -97.16754359673297 49.88043265262186, -97.16793211595952 49.8804427933405, -97.16794057081809 49.88032868848007)))",49.880380664817594,-97.1677420781914,South,Central
230,12082065000.0,120 RUBY STREET,True,329000.0,120.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17344683344119 49.880899888851516, -97.17305619214376 49.8808879458939, -97.17304943482559 49.88097826892628, -97.17344002394972 49.880990211980524, -97.17344683344119 49.880899888851516)))",49.88093907792875,-97.1732481217737,South,Central
244,12082829100.0,121 CANORA STREET,True,427000.0,121.0,CANORA,RESRM - ROOMING HOUSE,"MULTIPOLYGON (((-97.16611062547953 49.8807222737345, -97.16571135061288 49.88071210419991, -97.16570319336745 49.88082016036534, -97.16610268995507 49.88083037837988, -97.16611062547953 49.8807222737345)))",49.8807712345777,-97.16590697763732,South,Central
245,12082944000.0,121 CHESTNUT STREET,True,428000.0,121.0,CHESTNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16453680583766 49.88145085535174, -97.16493351072992 49.88146106902174, -97.16494030918896 49.88136900582313, -97.16454357823662 49.8813587914903, -97.16453680583766 49.88145085535174)))",49.88140992991785,-97.16473855103834,North,East
246,12081251000.0,121 GARFIELD STREET S,True,398000.0,121.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17696966076372 49.87981094985596, -97.1773564187913 49.87982278441118, -97.17736472313992 49.87971330182024, -97.17697797293958 49.879701467411664, -97.17696966076372 49.87981094985596)))",49.8797621260584,-97.17716719386736,South,Central
248,12081828000.0,121 LENORE STREET,True,395000.0,121.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17162783394826 49.881115791946904, -97.17123722742419 49.8811038137272, -97.17123063602624 49.88119414917832, -97.17162119197185 49.881206122121434, -97.17162783394826 49.881115791946904)))",49.88115496822234,-97.17142922107496,South,Central
258,12082778000.0,122 CANORA STREET,True,387000.0,122.0,CANORA,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16637629253827 49.880921086933455, -97.16676689098786 49.880932073085866, -97.16677496012174 49.880822604533414, -97.16638432702344 49.880811637644904, -97.16637629253827 49.880921086933455)))",49.88087184994376,-97.1665756237307,South,Central
267,12081285000.0,122 SHERBURN STREET,True,491000.0,122.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1764327375617 49.88088092179153, -97.17681957378473 49.88089275213293, -97.17682643260328 49.88080242960851, -97.1764396040892 49.88079059850834, -97.1764327375617 49.88088092179153)))",49.88084167564803,-97.17662958664432,South,Central
281,12081963000.0,123 RUBY STREET,True,244000.0,123.0,RUBY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17236577312576 49.88113839289026, -97.172756284928 49.881150349618125, -97.17276304289338 49.88106002481387, -97.17237247345457 49.88104806539753, -97.17236577312576 49.88113839289026)))",49.88109920705758,-97.17256439335124,South,Central
287,12082779000.0,124 CANORA STREET,True,354000.0,124.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16675882038558 49.88104154251234, -97.16676689098786 49.880932073085866, -97.16637629253827 49.880921086933455, -97.16636825804416 49.88103053532009, -97.16675882038558 49.88104154251234)))",49.88098130884176,-97.1665675720933,South,Central
316,12082187000.0,126 EVANSON STREET,True,499000.0,126.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17119167852319 49.88079702180752, -97.17085313481468 49.88078662917501, -97.17084687690927 49.88087221151298, -97.1711854338368 49.88088260167099, -97.17119167852319 49.88079702180752)))",49.88083461628659,-97.1710192800536,South,Central
318,12082475000.0,126 HOME STREET,True,327000.0,126.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16867357720754 49.88082402650239, -97.16909904572991 49.88083758229176, -97.16910573454972 49.88074727726188, -97.16868026461049 49.88073374305892, -97.16867357720754 49.88082402650239)))",49.880785657551726,-97.16888966399824,South,Central
331,12081318000.0,127 SHERBURN STREET,True,307000.0,127.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17576630058943 49.88086053619016, -97.17615310721193 49.88087236829259, -97.17615997704164 49.88078204507545, -97.17577317395445 49.880770212148654, -97.17576630058943 49.88086053619016)))",49.88082129048398,-97.17596313936222,South,Central
336,12081638000.0,128 LIPTON STREET,True,399000.0,128.0,LIPTON,RESMU - RESIDENTIAL MULTIPLE USE,"MULTIPOLYGON (((-97.17412953643726 49.881460680070376, -97.17412390060585 49.88153512470026, -97.17452355025405 49.881547348024206, -97.17452919402939 49.881472901649936, -97.17412953643726 49.881460680070376)))",49.881504013517336,-97.17432654622782,North,Central
345,12082832000.0,129 CANORA STREET,True,450000.0,129.0,CANORA,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16568667494239 49.88103900857071, -97.1656784156298 49.881148433567894, -97.1660785774817 49.88115879980443, -97.16608661500449 49.88104932629884, -97.16568667494239 49.88103900857071)))",49.881098897525696,-97.16588258338663,South,Central
349,12082496000.0,129 HOME STREET,True,353000.0,129.0,HOME,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16840727361424 49.88063550640354, -97.16798674589072 49.88062246601174, -97.16798005208572 49.88071281138699, -97.16840058218648 49.88072584643989, -97.16840727361424 49.88063550640354)))",49.88067415753099,-97.16819366134692,South,Central
358,12082781000.0,130 CANORA STREET,True,351000.0,130.0,CANORA,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16675075116538 49.88115101105891, -97.16636022211586 49.8811399836818, -97.16635218753575 49.88124943206257, -97.16674268051082 49.88126047958054, -97.16675075116538 49.88115101105891)))",49.881200225967056,-97.16655146666936,South,Central
360,12082185000.0,130 EVANSON STREET,True,307000.0,130.0,EVANSON,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.17083436105382 49.8810433752846, -97.17117294720194 49.88105376053748, -97.17117919054941 49.88096818065564, -97.17084061901163 49.8809577929502, -97.17083436105382 49.8810433752846)))",49.881005777631,-97.17100677847785,South,Central
365,12081288000.0,130 SHERBURN STREET,True,285000.0,130.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17641214058077 49.88115189167267, -97.17679899568947 49.88116372147009, -97.17680585602344 49.881073398074676, -97.17641900580747 49.88106156837368, -97.17641214058077 49.88115189167267)))",49.88111264499232,-97.17660899949912,South,Central
411,12081300000.0,134 SHERBURN STREET,True,343000.0,134.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17640527532392 49.881242214969596, -97.17679213675048 49.88125404398638, -97.17679899568947 49.88116372147009, -97.17641214058077 49.88115189167267, -97.17640527532392 49.881242214969596)))",49.88120296813557,-97.17660213673015,South,Central
415,12082835000.0,135 CANORA STREET,True,474000.0,135.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16565363749609 49.88147670674363, -97.16605446604638 49.88148722032557, -97.16606250369824 49.881377746828804, -97.16566189690664 49.881367282654345, -97.16565363749609 49.88147670674363)))",49.88142724460682,-97.16585813893306,North,Central
421,12081238000.0,136 GARFIELD STREET S,True,288000.0,136.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17797664652346 49.88047538984953, -97.1775880734874 49.88046359361801, -97.17758122589241 49.88055391636211, -97.1779697639198 49.880565700369324, -97.17797664652346 49.88047538984953)))",49.88051464923408,-97.17777892351604,South,Central
429,12081323000.0,137 SHERBURN STREET,True,319000.0,137.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1757319291043 49.88131215720041, -97.17611875890071 49.88132398706654, -97.17612562888117 49.8812336638596, -97.17573880401137 49.88122183319098, -97.1757319291043 49.88131215720041)))",49.88127291041346,-97.17592877987782,South,Central
433,12082690000.0,138 ETHELBERT STREET,True,370000.0,138.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16751822108665 49.88077503260498, -97.16750976291871 49.88088915896728, -97.16789829605428 49.88089921275017, -97.16790675110123 49.88078510790256, -97.16751822108665 49.88077503260498)))",49.88083712793512,-97.16770825167195,South,Central
436,12082480000.0,138 HOME STREET,True,589000.0,138.0,HOME,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16907229439752 49.881198800659206, -97.16864683011741 49.8811851594012, -97.16864014256709 49.881275442834635, -97.1690656054643 49.88128910478009, -97.16907229439752 49.881198800659206)))",49.881237127182,-97.16885622625776,South,Central
437,12083067000.0,138 WALNUT STREET,True,263000.0,138.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16441022996612 49.8822498108831, -97.16401390047469 49.8822392827313, -97.16400768980867 49.88232415960991, -97.16440399074715 49.882334687012644, -97.16441022996612 49.8822498108831)))",49.882286984549765,-97.1642089527902,North,East
444,12082138000.0,14 ARLINGTON STREET,True,307000.0,14.0,ARLINGTON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17043887041784 49.87772508175338, -97.17044664637065 49.877618983233596, -97.17010865574474 49.87760861683753, -97.17010086147236 49.877714714994994, -97.17043887041784 49.87772508175338)))",49.87766684968208,-97.1702737584134,South,Central
460,12081261000.0,141 GARFIELD STREET S,True,323000.0,141.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17690108119064 49.880714179868924, -97.17728790507488 49.88072600935782, -97.17729475599832 49.88063568758274, -97.17690793985683 49.88062385643605, -97.17690108119064 49.880714179868924)))",49.88067493343863,-97.17709791984436,South,Central
465,12082688000.0,142 ETHELBERT STREET,True,475000.0,142.0,ETHELBERT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1675013032784 49.88100328620334, -97.16749284501621 49.88111741255921, -97.16788138581907 49.88112742243575, -97.16788984096023 49.88101331759456, -97.1675013032784 49.88100328620334)))",49.88106535957779,-97.16769133765015,South,Central
469,12081301000.0,142 SHERBURN STREET,True,300000.0,142.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17639840864574 49.8813325382426, -97.1767852777475 49.881344367399606, -97.17679213675048 49.88125404398638, -97.17640527532392 49.881242214969596, -97.17639840864574 49.8813325382426)))",49.88129329129771,-97.17659527457194,South,Central
471,12082839000.0,143 CANORA STREET,True,431000.0,143.0,CANORA,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.16562885896634 49.88180497989256, -97.16562059795447 49.881914404846874, -97.16602231636583 49.881925115204254, -97.16603035418979 49.88181564171923, -97.16562885896634 49.88180497989256)))",49.88186504090221,-97.16582554448432,North,Central
473,12081262000.0,143 GARFIELD STREET S,True,299000.0,143.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1768942239194 49.88080450242266, -97.1772810540875 49.880816332029845, -97.17728790507488 49.88072600935782, -97.17690108119064 49.880714179868924, -97.1768942239194 49.88080450242266)))",49.88076525604117,-97.17709106603252,South,Central
475,12081324000.0,143 SHERBURN STREET,True,336000.0,143.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17572505555827 49.8814024812297, -97.17611188885621 49.88141431117043, -97.17611875890071 49.88132398706654, -97.1757319291043 49.88131215720041, -97.17572505555827 49.8814024812297)))",49.8813632342345,-97.17592190808811,South,Central
478,12081449000.0,144 AUBREY STREET,True,390000.0,144.0,AUBREY,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17584087798211 49.87898536978452, -97.17545422988853 49.87897353726369, -97.17544739617654 49.87906387363081, -97.175834025479 49.8790757067748, -97.17584087798211 49.87898536978452)))",49.87902462151239,-97.17564413283552,South,Central
479,12082687000.0,144 ETHELBERT STREET,True,392000.0,144.0,ETHELBERT,RESDU - DUPLEX,"MULTIPOLYGON (((-97.167478641796 49.881309038184, -97.16787566256568 49.88131928108297, -97.16788580480736 49.88118237986184, -97.16748878695226 49.88117216312392, -97.167478641796 49.881309038184)))",49.8812457158645,-97.1676822303128,South,Central
482,12081302000.0,144 SHERBURN STREET,True,324000.0,144.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1763915433286 49.88142286153547, -97.17677841871443 49.8814346908108, -97.1767852777475 49.881344367399606, -97.17639840864574 49.8813325382426, -97.1763915433286 49.88142286153547)))",49.88138361461847,-97.1765884120735,North,Central
486,12081263000.0,145 GARFIELD STREET S,True,323000.0,145.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.176887365193 49.880894825851456, -97.17727420167887 49.88090665467794, -97.1772810540875 49.880816332029845, -97.1768942239194 49.88080450242266, -97.176887365193 49.880894825851456)))",49.88085557885637,-97.1770842108637,South,Central
487,12081833000.0,145 LENORE STREET,True,257000.0,145.0,LENORE,RESMC - MULTIFAMILY CONVERSION,"MULTIPOLYGON (((-97.17118560569776 49.8818103522836, -97.17157587156817 49.88182229699623, -97.17158132700948 49.88174813890966, -97.17119101654866 49.881736185017736, -97.17118560569776 49.8818103522836)))",49.88177924248199,-97.17138345183922,North,Central
489,12083009000.0,145 WALNUT STREET,True,303000.0,145.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16331543536478 49.882396981985416, -97.16331100587217 49.882458456600894, -97.16374218350767 49.88247062659398, -97.16374719121458 49.88240218998698, -97.16335872650018 49.88239139186253, -97.16335024519955 49.8823911560938, -97.16334974496239 49.88239799157608, -97.16331543536478 49.882396981985416)))",49.88243066045845,-97.1635307416124,North,East
493,12081303000.0,146 SHERBURN STREET,True,352000.0,146.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1763915433286 49.88142286153547, -97.17638467659015 49.8815131848044, -97.1767715582939 49.88152501329911, -97.17677841871443 49.8814346908108, -97.1763915433286 49.88142286153547)))",49.88147393772332,-97.17658154887576,North,Central
495,12081264000.0,147 GARFIELD STREET S,True,358000.0,147.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17727420167887 49.88090665467794, -97.176887365193 49.880894825851456, -97.17688050786155 49.88098514840114, -97.17726735063133 49.880996977345916, -97.17727420167887 49.88090665467794)))",49.88094590169047,-97.17707735630562,South,Central
501,12081922000.0,148 LENORE STREET,True,209000.0,148.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17185148281551 49.88188561349889, -97.17224152080183 49.88189755636517, -97.17225108465387 49.881768644072466, -97.17186096555253 49.88175670175309, -97.17185148281551 49.88188561349889)))",49.88182712671801,-97.1720512643829,North,Central
503,12081265000.0,149 GARFIELD STREET S,True,313000.0,149.0,GARFIELD,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17687364907493 49.88107547182586, -97.17726049816252 49.88108729998994, -97.17726735063133 49.880996977345916, -97.17688050786155 49.88098514840114, -97.17687364907493 49.88107547182586)))",49.8810362245016,-97.1770705010766,South,Central
505,12081327000.0,149 SHERBURN STREET,True,411000.0,149.0,SHERBURN,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.1757113069845 49.881583129260235, -97.17570293320716 49.88169316112092, -97.17608978005076 49.88170498863911, -97.17609814871064 49.88159495847313, -97.1757113069845 49.881583129260235)))",49.88164405947477,-97.17590054168818,North,Central
508,12082133000.0,15 EVANSON STREET,True,383000.0,15.0,EVANSON,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17082372546902 49.87770435959945, -97.1708291107128 49.87763071253007, -97.17050276908391 49.877620704533264, -97.17049737257058 49.877694351250064, -97.17082372546902 49.87770435959945)))",49.87766253219024,-97.17066324444612,South,Central
511,12081793000.0,15 LENORE STREET,True,339000.0,15.0,LENORE,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.17146417492874 49.87799354343761, -97.17185654209125 49.87800567381186, -97.17186312263897 49.87791616489328, -97.17147070950222 49.87790402932406, -97.17146417492874 49.87799354343761)))",49.87795485194497,-97.17166363597936,South,Central
523,12083012000.0,151 WALNUT STREET,True,398000.0,151.0,WALNUT,RESSD - DETACHED SINGLE DWELLING,"MULTIPOLYGON (((-97.16329574774664 49.88267020127827, -97.16372665829769 49.88268278265773, -97.16373216797527 49.88260750160244, -97.16330116210051 49.88259506534858, -97.16329574774664 49.88267020127827)))",49.882638888536846,-97.16351400459168,North,East
